stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021012060002000,Billesholm Hästhovsgatan,56.062523,12.976800,1,,
9021012060003000,Billesholm Snödroppsgatan,56.065072,12.976677,1,,
9021012060006000,Vrams Gunnarstorp,56.101338,12.969305,1,,
9021012060007000,Billesholm Nybrodal,56.070853,12.964334,1,,
9021012060008000,Billesholm Ljungsgårdsvägen,56.071545,12.960042,1,,
9021012060009000,Lunnahus,56.073183,12.953157,1,,
9021012060010000,Bjuv Findus,56.075695,12.942513,1,,
9021012060011000,Bjuv Glimmergatan,56.084160,12.890010,1,,
9021012060012000,Bjuv Selleberga,56.079024,12.930745,1,,
9021012060013000,Bjuv Varagården,56.081598,12.924752,1,,
9021012060014000,Bjuv Gruvgatan,56.083247,12.919969,1,,
9021012060015000,Ekeby Skola,55.996997,12.973848,1,,
9021012060016000,Bjuv Norra vägen,56.089679,12.910294,1,,
9021012060017000,Bjuv Rubingatan,56.086799,12.902057,1,,
9021012060018000,Bjuv Sjukhusvägen,56.084475,12.896093,1,,
9021012060023000,Brogårda,56.096494,12.890251,1,,
9021012060025000,Bjuv Orkestergatan,56.092071,12.905774,1,,
9021012060026000,Bjuv Höstgatan,56.090128,12.917557,1,,
9021012060031000,Bjuv Köpcentrum,56.087000,12.914449,1,,
9021012060056000,Ekeby Flamman,55.992159,12.972904,1,,
9021012060064000,Ekeby Missionsgatan,56.002937,12.967272,1,,
9021012060090000,Bjuvs station,56.083496,12.912574,1,,
9021012950120000,Bjuv NO 2 väst,56.051942,12.923031,1,,
9021012950121000,Bjuv NO 2 öst,56.019952,13.004814,1,,
9021012950122000,Bjuv NO 3,55.987093,12.939597,1,,
9021012950125000,Bjuv NO 1 väst,56.104258,12.935873,1,,
9021012950126000,Bjuv NO 1 öst,56.074800,13.034314,1,,
9021012010002000,Mörrum station,56.186897,14.744085,1,,
9021012010003000,Karlshamn resecentrum,56.176579,14.867549,1,,
9021012010004000,Bräkne Hoby station,56.231042,15.115742,1,,
9021012010005000,Ronneby resecentrum,56.206502,15.283541,1,,
9021012010006000,Bergåsa station,56.182712,15.601202,1,,
9021012010007000,Karlskrona C,56.166698,15.585174,1,,
9021012010011000,Nyteboda,56.324027,14.403722,1,,
9021012010044000,Länsgränsen,56.389862,14.418710,1,,
9021012072003000,Bromölla Tiansgård,56.069222,14.477414,1,,
9021012950082000,Bromölla NO 1,56.102711,14.548037,1,,
9021012950083000,Bromölla NO 2,56.173759,14.490309,1,,
9021012950084000,Bromölla NO 3,56.038486,14.468266,1,,
9021012950085000,Bromölla NO 4,56.116192,14.488481,1,,
9021012031000000,Rinnebäcks station,55.636405,13.069232,1,,
9021012031004000,Hvilan Lindvägen,55.650980,13.118414,1,,
9021012031005000,Burlöv Kronetorp,55.641886,13.091870,1,,
9021012031007000,Arlöv Kyrkogatan,55.633274,13.079155,1,,
9021012031008000,Arlöv Elisetorpsvägen,55.633731,13.083539,1,,
9021012031009000,Arlöv Rapsvägen,55.634278,13.087949,1,,
9021012031010000,Burlöv center,55.638825,13.085934,1,,
9021012031011000,Arlöv Allégatan,55.629203,13.067844,1,,
9021012031012000,Arlöv Ringvägen,55.636839,13.081068,1,,
9021012031013000,Arlöv kyrka,55.634949,13.076100,1,,
9021012031014000,Arlöv Sockerbitstorget,55.632002,13.070460,1,,
9021012031016000,Arlöv Norra Promenaden,55.638434,13.064340,1,,
9021012031017000,Arlöv Strandängen,55.639009,13.060742,1,,
9021012031018000,Mossvägen,55.645076,13.098386,1,,
9021012031019000,Åkarp Sockervägen,55.647496,13.104241,1,,
9021012031020000,Åkarp Alnarpsvägen,55.650071,13.111008,1,,
9021012031022000,Burlövs Egnahem,55.633079,13.097117,1,,
9021012031023000,Nordanåvägen,55.634035,13.115223,1,,
9021012031027000,Mimosavägen,55.637201,13.101456,1,,
9021012031029000,Åkarp Gränsvägen,55.655190,13.100675,1,,
9021012031030000,Åkarp Stationsvägen,55.654023,13.106429,1,,
